dataset,n,memory_mb,build_time_ms,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
dblp_FM,5,56.6621,31165.2,2.37101e+09,3.7187e+09,97488,2.35497e+07,1.95166e+08,3.21619e+09,1.3108e+10
dblp_FM,10,56.6621,31165.2,1.07919e+09,1.82799e+09,40672,724314,1.50742e+07,1.84597e+09,7.14767e+09
dblp_FM,15,56.6621,31165.2,4.41525e+08,1.01328e+09,42815,100525,1.3211e+07,2.13628e+08,3.77346e+09
dblp_FM,20,56.6621,31165.2,7.28397e+07,2.15272e+08,44849,114969,381969,2.74831e+07,1.16952e+09
dblp_FM,25,56.6621,31165.2,8.69801e+06,1.65674e+07,49332,145702,630964,8.14661e+06,6.58591e+07
dblp_FM,30,56.6621,31165.2,1.30631e+08,4.45799e+08,59680,117049,625260,1.12394e+07,2.18288e+09
dblp_FM,35,56.6621,31165.2,1.66757e+07,5.65267e+07,57840,85511.8,122150,4.49933e+06,3.13182e+08
dblp_FM,40,56.6621,31165.2,9.62152e+06,2.89676e+07,62688,93902.5,133233,1.40793e+06,1.45161e+08
dblp_FM,45,56.6621,31165.2,2.3027e+06,6.5122e+06,73433,98025.8,123631,247515,3.0041e+07
dblp_FM,50,56.6621,31165.2,4.95798e+06,1.39075e+07,103482,196250,250450,1.47766e+06,7.28296e+07
dblp_FM,55,56.6621,31165.2,3.3956e+06,8.47089e+06,121107,199714,348224,1.34387e+06,4.08997e+07
dblp_FM,60,56.6621,31165.2,1.5758e+06,5.98345e+06,123454,177125,236260,313180,3.34162e+07
dblp_FM,65,56.6621,31165.2,1.24202e+06,3.4055e+06,145834,179905,218523,309006,1.83175e+07
dblp_FM,70,56.6621,31165.2,2.30429e+06,1.03056e+07,152804,245112,303086,391654,5.87135e+07
dblp_FM,75,56.6621,31165.2,1.85686e+06,4.50303e+06,202927,246617,334298,692398,1.8736e+07
dblp_FM,80,56.6621,31165.2,924311,2.95777e+06,195319,298806,348342,431719,1.7081e+07
dblp_FM,85,56.6621,31165.2,369525,200564,199295,264852,307420,402258,1.24784e+06
dblp_FM,90,56.6621,31165.2,1.16472e+06,2.62238e+06,253009,373774,429418,678078,1.18564e+07
dblp_FM,95,56.6621,31165.2,755361,1.04172e+06,196685,293064,342124,537304,4.35638e+06
dblp_FM,100,56.6621,31165.2,308559,176835,183764,230828,264295,314900,1.16682e+06
dblp_FM,105,56.6621,31165.2,595691,1.32161e+06,154039,225490,291458,410779,7.71437e+06
dblp_FM,110,56.6621,31165.2,529663,308222,208191,364286,442778,590299,1.51367e+06
dblp_FM,115,56.6621,31165.2,282310,82948.2,176994,233929,254034,298014,504189
dblp_FM,120,56.6621,31165.2,303365,94335.8,189368,241504,266503,315966,587087
dblp_FM,125,56.6621,31165.2,427204,300220,204829,299287,354950,462448,1.95143e+06
dblp_FM,130,56.6621,31165.2,443973,229695,214448,306722,368816,518307,1.27442e+06
dblp_FM,135,56.6621,31165.2,385857,221085,220675,265329,326983,401344,1.40995e+06
dblp_FM,140,56.6621,31165.2,348659,89936.6,255416,280864,337300,384858,669276
dblp_FM,145,56.6621,31165.2,317511,101708,220341,256051,286486,327438,639862
dblp_FM,150,56.6621,31165.2,420474,145886,250373,313491,357390,482691,738695
dblp_FM,155,56.6621,31165.2,475492,141438,255467,388496,467348,525119,949297
dblp_FM,160,56.6621,31165.2,480282,126974,273338,404339,438298,539401,768121
dblp_FM,165,56.6621,31165.2,372997,111143,232096,304511,331737,435538,705687
dblp_FM,170,56.6621,31165.2,370103,115324,265136,300346,331306,394206,684210
dblp_FM,175,56.6621,31165.2,486269,224572,291696,331056,420421,544021,1.38119e+06
dblp_FM,180,56.6621,31165.2,567820,405950,266078,378304,477144,618296,2.61741e+06
dblp_FM,185,56.6621,31165.2,520283,114323,324867,431156,506168,605166,816267
dblp_FM,190,56.6621,31165.2,736847,221294,423783,603731,717894,794574,1.38947e+06
dblp_FM,195,56.6621,31165.2,843141,404157,400929,694190,758937,911650,2.67905e+06
dblp_FM,200,56.6621,31165.2,686022,185656,417140,532328,663464,793219,1.16187e+06
dblp_FM,205,56.6621,31165.2,648497,171634,391513,511662,630621,746581,1.19869e+06
dblp_FM,210,56.6621,31165.2,670156,215325,402671,498324,611428,755896,1.21295e+06
dblp_FM,215,56.6621,31165.2,1.03959e+06,490249,497142,780697,905514,1.14511e+06,3.00852e+06
dblp_FM,220,56.6621,31165.2,917470,231366,465804,796009,929506,1.04809e+06,1.43654e+06
dblp_FM,225,56.6621,31165.2,858616,327610,439447,667676,803079,985389,2.10569e+06
dblp_FM,230,56.6621,31165.2,577528,166666,350970,451027,532602,627599,941885
