dataset,n,memory_mb,build_time_ms,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
dblp_SA,5,400,11131,2.24298e+07,3.39816e+07,38247,289667,2.18226e+06,3.41604e+07,1.20794e+08
dblp_SA,10,400,11131,9.31913e+06,1.43583e+07,25135,38337.2,198946,1.98558e+07,5.19282e+07
dblp_SA,15,400,11131,4.63999e+06,8.88363e+06,23369,39983,216236,3.03254e+06,2.87386e+07
dblp_SA,20,400,11131,1.02777e+06,2.71317e+06,28314,42892.2,54084,281903,1.38781e+07
dblp_SA,25,400,11131,152349,220680,33818,45119.2,57222.5,120070,899524
dblp_SA,30,400,11131,1.29485e+06,4.29322e+06,31188,42847.2,50042,147118,2.11487e+07
dblp_SA,35,400,11131,221567,565492,28721,36294.5,41938,85201,3.09127e+06
dblp_SA,40,400,11131,137711,276107,24160,38313.2,47655.5,81926.2,1.4329e+06
dblp_SA,45,400,11131,67914.6,89887.9,29878,34308.2,42070,56288.2,503765
dblp_SA,50,400,11131,98879.2,192128,36520,42722.2,52169.5,63896.8,1.11153e+06
dblp_SA,55,400,11131,68484.8,53199.9,32468,40176.2,49712,68675.8,240731
dblp_SA,60,400,11131,52209.6,49453,30132,35577.8,40470,49440.2,314665
dblp_SA,65,400,11131,51480.7,29632.5,24699,36136.5,40882,54248.8,148487
dblp_SA,70,400,11131,58454.2,44789.1,29137,36736,46376.5,66078.5,280613
dblp_SA,75,400,11131,59812,52946.5,26303,36032,43207.5,54102,307342
dblp_SA,80,400,11131,52523.4,25569.7,30101,40473.2,48123,56081.8,173633
dblp_SA,85,400,11131,57520.1,35749.6,26973,37053.8,45665.5,66999.5,179025
dblp_SA,90,400,11131,56568.2,21586.9,30274,44319.2,50687.5,62592,123301
dblp_SA,95,400,11131,56398.5,16611.7,35149,42080,54490.5,67279.5,101923
dblp_SA,100,400,11131,54844.7,26469,32326,38896.5,47336,62422.2,174485
dblp_SA,105,400,11131,61641.7,20071.9,34580,43326.8,59518,79430.5,99963
dblp_SA,110,400,11131,44981.2,14031.7,27806,34831.2,40404.5,52515.2,86973
dblp_SA,115,400,11131,45004.8,11804.8,27776,35037.8,41176.5,54929.2,67627
dblp_SA,120,400,11131,51379.4,23083.3,29065,33988.2,45300,61589.5,144435
dblp_SA,125,400,11131,66865.2,39438.8,37992,45381,56734.5,71169,257488
dblp_SA,130,400,11131,64431.4,19409.5,34255,48224.5,63138,80040,106849
dblp_SA,135,400,11131,52924.6,15772,34347,43792,47036,58534.8,94286
dblp_SA,140,400,11131,56383.6,18424.6,29979,41214.5,49103,65394.8,93686
dblp_SA,145,400,11131,54146.2,18226.6,36459,40394.2,45944.5,61721.2,108006
dblp_SA,150,400,11131,52459.4,25584.1,33382,38769.5,46533,56385.2,173176
