dataset,n,memory_mb,build_time_ms,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
proteins_FM,5,46.8544,29772,2.8705e+06,4.49987e+06,59011,589706,1.07536e+06,3.31862e+06,2.06933e+07
proteins_FM,10,46.8544,29772,200759,536215,14850,28731.5,52675,80419.2,2.91012e+06
proteins_FM,15,46.8544,29772,134372,242404,22905,34996.5,60425,101460,1.29466e+06
proteins_FM,20,46.8544,29772,105889,201701,27912,36973.5,50107,91662.5,1.17262e+06
proteins_FM,25,46.8544,29772,126175,235373,30050,52460.5,79527,97233.5,1.37269e+06
proteins_FM,30,46.8544,29772,227098,606892,39544,48065.8,67655,148617,3.39044e+06
proteins_FM,35,46.8544,29772,214890,319995,50826,87487.5,111786,166270,1.64263e+06
proteins_FM,40,46.8544,29772,397995,1.14416e+06,47099,60822.8,78403.5,108734,5.97123e+06
proteins_FM,45,46.8544,29772,603628,2.75236e+06,50077,65893.8,76679.5,120308,1.56706e+07
proteins_FM,50,46.8544,29772,462969,915096,62069,87008,113210,314135,3.98832e+06
proteins_FM,55,46.8544,29772,149927,194260,67616,87114.8,104431,138504,1.18632e+06
proteins_FM,60,46.8544,29772,116958,49592,71773,79942.2,104166,133060,262477
proteins_FM,65,46.8544,29772,114773,31168.6,79667,92406.8,106314,128192,234535
proteins_FM,70,46.8544,29772,190834,282788,85603,101613,120336,160407,1.70156e+06
proteins_FM,75,46.8544,29772,149130,46577.2,91990,117315,135940,165905,264965
proteins_FM,80,46.8544,29772,150089,54905.4,89871,116970,140177,160737,352647
proteins_FM,85,46.8544,29772,165299,205827,99574,111562,124028,143835,1.28495e+06
proteins_FM,90,46.8544,29772,296233,433496,105411,139640,171822,232177,2.32926e+06
proteins_FM,95,46.8544,29772,160517,58527.1,106350,124877,139982,177500,373534
proteins_FM,100,46.8544,29772,151476,29005.7,113075,131528,147222,164934,228259
proteins_FM,105,46.8544,29772,235392,244726,123039,129864,151090,197002,1.22751e+06
proteins_FM,110,46.8544,29772,191100,114170,107044,136455,153139,184095,675378
proteins_FM,115,46.8544,29772,240915,215374,133750,150226,181720,249354,1.35516e+06
proteins_FM,120,46.8544,29772,220450,136641,124907,159318,185395,218658,863369
proteins_FM,125,46.8544,29772,194870,67549.3,140091,154511,184240,202346,426244
proteins_FM,130,46.8544,29772,253487,174085,153714,188788,203580,231833,1.10864e+06
proteins_FM,135,46.8544,29772,185440,30414.1,120677,162168,179194,210741,251645
proteins_FM,140,46.8544,29772,188725,24997.4,155554,171230,180504,205548,250214
proteins_FM,145,46.8544,29772,212475,51707.9,170718,182898,195278,215193,408129
proteins_FM,150,46.8544,29772,236879,96079,166526,183895,208350,230330,587384
proteins_FM,155,46.8544,29772,261370,202911,169197,190612,223384,248552,1.33709e+06
proteins_FM,160,46.8544,29772,217565,42760.6,172568,188454,201979,227610,356298
proteins_FM,165,46.8544,29772,238497,76214.4,182890,201196,213246,251243,534097
proteins_FM,170,46.8544,29772,224697,30813.2,155834,205375,222028,244023,324100
proteins_FM,175,46.8544,29772,255671,121967,171917,206388,223848,247324,845675
proteins_FM,180,46.8544,29772,280919,199964,195773,214807,229270,262030,1.28305e+06
proteins_FM,185,46.8544,29772,271894,87116.6,159265,223296,246634,278578,587039
proteins_FM,190,46.8544,29772,256711,35838.9,177448,234024,256576,271963,349717
proteins_FM,195,46.8544,29772,266485,44594.3,218588,235650,251500,283772,425814
proteins_FM,200,46.8544,29772,279498,43268.7,224849,248332,278236,294807,429344
proteins_FM,205,46.8544,29772,299841,153314,227779,245531,266774,289206,1.07885e+06
proteins_FM,210,46.8544,29772,257711,28346,182750,244594,256571,276421,331623
proteins_FM,215,46.8544,29772,286450,85845.4,227520,248792,268234,288711,720948
proteins_FM,220,46.8544,29772,438325,76736,329692,389636,418502,466195,667897
proteins_FM,225,46.8544,29772,337449,72968.9,249775,284563,324656,379573,597886
proteins_FM,230,46.8544,29772,416728,118163,219928,303048,432454,520136,642701
proteins_FM,235,46.8544,29772,399261,212702,248914,299002,345106,376857,1.34267e+06
proteins_FM,240,46.8544,29772,484686,150489,290033,375020,464237,553614,962922
proteins_FM,245,46.8544,29772,397200,104493,246854,318597,377042,441210,645321
proteins_FM,250,46.8544,29772,309821,33357.7,258096,284597,301226,334306,383304
proteins_FM,255,46.8544,29772,415412,136262,283572,341940,371496,447433,822250
proteins_FM,260,46.8544,29772,344946,90303.3,276391,302748,323290,366368,792814
proteins_FM,265,46.8544,29772,349917,54180.7,254446,323656,343905,353420,573055
proteins_FM,270,46.8544,29772,364658,61049.7,307968,329747,350862,364817,606593
proteins_FM,275,46.8544,29772,532602,115561,363460,444367,518004,600454,805797
proteins_FM,280,46.8544,29772,847375,503319,362669,594490,782081,882138,3.11222e+06
proteins_FM,285,46.8544,29772,834833,710040,444588,490280,621071,860849,4.29318e+06
proteins_FM,290,46.8544,29772,652991,228480,385014,487502,646366,737898,1.62096e+06
proteins_FM,295,46.8544,29772,530079,116822,348437,425110,521664,626302,809068
proteins_FM,300,46.8544,29772,469970,204111,334044,398992,425914,488140,1.54451e+06
proteins_FM,305,46.8544,29772,491844,115522,316990,404972,475244,562080,787862
proteins_FM,310,46.8544,29772,728029,218905,381133,548523,713176,824020,1.24099e+06
proteins_FM,315,46.8544,29772,623879,256145,215147,445705,527746,752920,1.45008e+06
proteins_FM,320,46.8544,29772,943641,465016,550771,694362,778126,894663,2.38596e+06
proteins_FM,325,46.8544,29772,878916,297769,448298,633549,867985,1.07246e+06,1.8958e+06
proteins_FM,330,46.8544,29772,1.11483e+06,856940,397080,663323,950994,1.15463e+06,4.77697e+06
proteins_FM,335,46.8544,29772,781593,506489,376914,436520,615384,905305,2.82999e+06
proteins_FM,340,46.8544,29772,994650,329279,575449,713262,887252,1.12498e+06,1.90278e+06
proteins_FM,345,46.8544,29772,810628,342332,468820,653120,760162,857154,2.43773e+06
proteins_FM,350,46.8544,29772,1.04395e+06,399883,625030,783848,897906,1.20856e+06,2.23631e+06
proteins_FM,355,46.8544,29772,836555,251036,487772,619961,867202,996822,1.45677e+06
proteins_FM,360,46.8544,29772,937528,324352,509331,678715,919048,1.01909e+06,1.80564e+06
proteins_FM,365,46.8544,29772,653984,140514,440757,531635,663681,745362,954829
proteins_FM,370,46.8544,29772,568008,74531.1,427508,522009,573930,601139,756444
proteins_FM,375,46.8544,29772,606129,170691,459770,510132,581412,631710,1.4218e+06
proteins_FM,380,46.8544,29772,529289,71817.2,370600,493749,523828,586230,723701
proteins_FM,385,46.8544,29772,528981,183473,329598,448833,481810,533658,1.4456e+06
proteins_FM,390,46.8544,29772,486319,74312.8,332955,442270,478932,531298,745890
proteins_FM,395,46.8544,29772,477912,37998.3,419730,452557,474618,489757,565166
proteins_FM,400,46.8544,29772,483214,40415.8,426987,454002,474748,499308,605787
proteins_FM,405,46.8544,29772,529544,124246,288105,473443,495534,542803,930194
proteins_FM,410,46.8544,29772,618077,192732,397340,498885,530413,717504,1.09785e+06
proteins_FM,415,46.8544,29772,635738,170025,442100,515685,587401,703969,1.25811e+06
proteins_FM,420,46.8544,29772,660675,207825,410078,505996,575008,787636,1.09971e+06
proteins_FM,425,46.8544,29772,622281,219552,451862,516800,544078,636390,1.61194e+06
proteins_FM,430,46.8544,29772,648200,217863,490298,524968,557353,649528,1.43692e+06
proteins_FM,435,46.8544,29772,732659,180310,509531,605616,684122,784382,1.2797e+06
proteins_FM,440,46.8544,29772,711997,252656,345664,542991,611970,767390,1.38411e+06
proteins_FM,445,46.8544,29772,557234,56912.8,457414,519126,541207,594644,677738
proteins_FM,450,46.8544,29772,613387,199504,426174,513755,550874,633020,1.45062e+06
proteins_FM,455,46.8544,29772,1.5201e+06,1.29825e+06,535930,1.0895e+06,1.23505e+06,1.48874e+06,7.5001e+06
proteins_FM,460,46.8544,29772,926569,303327,464150,683959,931210,1.11023e+06,1.79197e+06
proteins_FM,465,46.8544,29772,723336,206095,437730,585489,659812,841018,1.38267e+06
proteins_FM,470,46.8544,29772,1.06623e+06,502085,557568,669276,954929,1.28523e+06,2.91352e+06
proteins_FM,475,46.8544,29772,759728,195820,456783,619758,711298,856784,1.31337e+06
proteins_FM,480,46.8544,29772,814292,285123,383429,603740,779431,874726,1.43723e+06
proteins_FM,485,46.8544,29772,1.16066e+06,452967,653624,774896,1.08114e+06,1.39721e+06,2.4249e+06
proteins_FM,490,46.8544,29772,802294,253992,425593,633616,730236,918872,1.3687e+06
proteins_FM,495,46.8544,29772,773772,216431,531731,650432,710892,797484,1.66368e+06
proteins_FM,500,46.8544,29772,714727,141031,569936,614251,681316,749260,1.19625e+06
proteins_FM,505,46.8544,29772,779752,215248,350094,670116,726112,871864,1.29969e+06
