dataset,n,memory_mb,build_time_ms,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
proteins_SA,5,400,11402.2,80017.8,67721,29476,44583.2,55333.5,86510,388346
proteins_SA,10,400,11402.2,57762.1,30266.1,27077,36247.8,48920.5,66683.5,138720
proteins_SA,15,400,11402.2,49657.6,17261,27485,34353.8,49727,62715.2,81987
proteins_SA,20,400,11402.2,53223.5,24564,20136,32122.5,53093,63850,140662
proteins_SA,25,400,11402.2,39203.3,16766.7,23562,27804,28954,51034.5,90860
proteins_SA,30,400,11402.2,50429.4,33833.4,27037,31552.5,39584.5,59449.5,213696
proteins_SA,35,400,11402.2,49852,37553.7,20235,32030.8,36691,56439,234828
proteins_SA,40,400,11402.2,41581,24195.1,25414,28555.2,31249,47842.2,142534
proteins_SA,45,400,11402.2,49687.4,57812.3,25194,28667.8,30891,42771,346440
proteins_SA,50,400,11402.2,43545.9,21189.2,26171,29867.8,38638.5,46794.2,121890
proteins_SA,55,400,11402.2,32609.5,12885.3,22845,25618,27301,30887.8,79826
proteins_SA,60,400,11402.2,33600.6,16104,22147,24196,27017,37221.5,100918
proteins_SA,65,400,11402.2,33656.5,11972.6,22964,26611,27927.5,42334.8,68185
proteins_SA,70,400,11402.2,34322.7,14994,20754,24210.8,27664.5,42417.8,89525
proteins_SA,75,400,11402.2,33936.4,13983.8,23661,26853.2,28988.5,31615,90889
proteins_SA,80,400,11402.2,30531,6932.64,24269,26327,28540.5,30796.2,51335
proteins_SA,85,400,11402.2,34098.2,10614.6,24916,27395.5,29372,36437.8,64201
proteins_SA,90,400,11402.2,35785.3,15240.2,23601,26310.2,28337,44830,88898
proteins_SA,95,400,11402.2,31564.1,11517.5,21829,24709.8,27614,29317.8,64898
proteins_SA,100,400,11402.2,37381.9,16957.9,23611,25839.5,30706,42532.5,105299
proteins_SA,105,400,11402.2,40139.4,16062.5,27017,30350.5,33136.5,43420.2,101506
proteins_SA,110,400,11402.2,45444.8,13030.2,32335,37314,40620,45522.5,79099
proteins_SA,115,400,11402.2,44615.5,15237,27077,35827.5,40122,51349.8,93877
proteins_SA,120,400,11402.2,43423.2,13386.3,30473,34477.8,38638,47020.5,90272
proteins_SA,125,400,11402.2,40936.6,20187,27883,31244.8,34705,37413.5,135035
proteins_SA,130,400,11402.2,40885.2,16406.5,26101,31797.5,34351.5,40353.8,96805
proteins_SA,135,400,11402.2,34385.8,11041.1,23631,27719.2,31872,33689.5,76351
proteins_SA,140,400,11402.2,30543.1,6124.78,24288,26595.8,28780,31443.2,49144
proteins_SA,145,400,11402.2,34352.8,9057.61,25354,28327,29715.5,37042.2,60526
proteins_SA,150,400,11402.2,31923.1,8399.72,22386,27258.8,29387,31578.2,57997
proteins_SA,155,400,11402.2,34566.7,11279.1,20743,29677.8,30901,34732.2,79477
proteins_SA,160,400,11402.2,27974.1,2515.78,23691,25674.8,27853,29799.8,33410
proteins_SA,165,400,11402.2,32974.4,12568.7,24477,27587.8,29327.5,32240,88530
proteins_SA,170,400,11402.2,29274.7,4892.85,24448,26703.2,27978,29860,47999
proteins_SA,175,400,11402.2,47781.9,24741.8,25911,36395.2,40157.5,48738.8,148170
proteins_SA,180,400,11402.2,44053,14254.8,30244,35534.2,38773,44499,93220
proteins_SA,185,400,11402.2,46556.9,8641.43,33071,41650.8,43966,49208.5,76958
proteins_SA,190,400,11402.2,40302.9,8163.77,31787,35030.8,39081,43211.5,73880
proteins_SA,195,400,11402.2,43244,11286.2,32026,35436.2,38579,46488,73512
proteins_SA,200,400,11402.2,41979.2,8862.44,30333,35361.5,40391,46261.5,69240
proteins_SA,205,400,11402.2,47772.5,19652.2,32146,35158.5,40500.5,49671.8,124928
proteins_SA,210,400,11402.2,37826.2,5275.56,30353,34384,37562.5,39728.5,55488
proteins_SA,215,400,11402.2,39068.2,13249.4,28720,32434.5,34560,38799.8,96507
proteins_SA,220,400,11402.2,42795.1,14495.9,32415,35277.2,38439,42228.2,110349
proteins_SA,225,400,11402.2,42772.3,11251.8,28441,35760.8,38051,47106,71859
proteins_SA,230,400,11402.2,49948.8,15394.3,32892,39086.8,46500.5,52070,93349
proteins_SA,235,400,11402.2,50528.3,18770.5,30154,40216.5,43767,52702.5,118883
proteins_SA,240,400,11402.2,40863.9,9034.5,32335,35070.8,38269.5,43290.8,76341
proteins_SA,245,400,11402.2,40136.6,6505.34,31938,35669.2,38363.5,43850.8,60338
proteins_SA,250,400,11402.2,40877.8,7440.19,33187,36280.8,39156.5,44191,72593
proteins_SA,255,400,11402.2,43935.1,13940.2,32208,37357.5,39032,44462.8,96604
proteins_SA,260,400,11402.2,51664.8,18680.4,34874,39555.8,47757.5,56606.2,128303
proteins_SA,265,400,11402.2,47516.8,7337.16,35003,42591,46904,50787.8,68898
proteins_SA,270,400,11402.2,45977.7,13625,30600,38811.5,42900.5,47071.5,99549
proteins_SA,275,400,11402.2,46655.2,10651.1,35353,38597.2,43300,52570,79152
proteins_SA,280,400,11402.2,46915.1,14187.2,34774,39780.2,41672.5,48654.2,104012
proteins_SA,285,400,11402.2,50296.2,15911.8,35443,41300.5,45421.5,50697.8,111939
proteins_SA,290,400,11402.2,64984,33736.1,37709,45606,49240,63090.2,162936
proteins_SA,295,400,11402.2,57083.8,22220.4,39346,43454.5,51517,57580,148935
proteins_SA,300,400,11402.2,49814.4,21762,35293,38694.8,45102,49926.8,131737
proteins_SA,305,400,11402.2,46176.4,8675.43,34334,39850.2,47104,49637.2,77634
proteins_SA,310,400,11402.2,48936.1,9165.27,35832,41614.8,48506.5,54664,77225
proteins_SA,315,400,11402.2,51876.7,15499.3,33546,40177.8,49729.5,57779.2,111230
proteins_SA,320,400,11402.2,55042.5,8932.21,37060,49702.5,53568.5,59521.2,75038
proteins_SA,325,400,11402.2,47843.3,10195.2,35992,41026.8,44358,52048.8,79222
proteins_SA,330,400,11402.2,50550.5,16439.1,35543,39366,47603.5,55071.5,120984
proteins_SA,335,400,11402.2,45406.2,14485.2,33815,38882.2,41018,45169.5,101675
proteins_SA,340,400,11402.2,42415.7,6087.08,33596,37873.8,40439.5,45559.2,59704
proteins_SA,345,400,11402.2,49334.9,16624.5,35842,39651.2,43729,54407,120944
proteins_SA,350,400,11402.2,46982.5,13078.3,35322,40721.5,42641,46320.8,99949
proteins_SA,355,400,11402.2,48082.2,19012.9,37509,41248.2,43324.5,48878.5,146783
proteins_SA,360,400,11402.2,55716.4,25765.8,34784,40525,49330,58133.2,162348
proteins_SA,365,400,11402.2,50056.7,15183.4,38347,42621,45097,50730.5,120315
proteins_SA,370,400,11402.2,46765.7,10911.5,35623,40994,42691,48274.2,86291
proteins_SA,375,400,11402.2,54340.1,26974.8,36511,40689,45581.5,59341.2,183413
proteins_SA,380,400,11402.2,51848.6,18736.3,35663,41617.8,43853.5,52277.8,114075
proteins_SA,385,400,11402.2,47748.3,15648.8,36291,41013.2,44273,51374.2,126815
proteins_SA,390,400,11402.2,50896.1,20945.7,37520,41190.5,44154,49447.8,139345
proteins_SA,395,400,11402.2,46894.2,12888.6,38278,40055.2,43259.5,48846.5,106318
proteins_SA,400,400,11402.2,48534,15139.5,39247,41103.8,42685.5,46088.2,99459
proteins_SA,405,400,11402.2,57706.4,35132,39087,43531.8,46350,54045.2,206796
proteins_SA,410,400,11402.2,55647.9,28162.6,37759,44136,46589.5,56064.8,187836
proteins_SA,415,400,11402.2,53904.9,21618.7,38448,44440.8,48106.5,56708.2,161249
proteins_SA,420,400,11402.2,53270.9,11574.7,40864,45336.2,48766.5,56296,91492
proteins_SA,425,400,11402.2,53594.2,20616.8,41013,43931,48057,54282.8,156586
proteins_SA,430,400,11402.2,65443.8,30667.2,41303,47962.2,52400.5,63267.8,157785
proteins_SA,435,400,11402.2,64702.5,22503.1,44677,51112.2,56444,66200.8,144307
proteins_SA,440,400,11402.2,63946.5,14553.1,45297,51509.2,59758.5,74751.8,106358
proteins_SA,445,400,11402.2,68025.6,26274.3,46615,56546.2,61435.5,66095.5,163166
proteins_SA,450,400,11402.2,70294.8,27429.7,53024,57317.5,61171.5,70518.5,200516
proteins_SA,455,400,11402.2,62864.2,13169.8,45097,55183.2,61016,66886.5,113127
proteins_SA,460,400,11402.2,66958.7,30972.9,43790,48501.2,57562,63911.5,170904
proteins_SA,465,400,11402.2,67758,25700.9,44299,50204,56384,70588.5,138906
proteins_SA,470,400,11402.2,93567.8,42243.5,47753,63736.5,73106.5,124130,207095
proteins_SA,475,400,11402.2,66679.1,14073.4,48322,56269,64086.5,71939.2,99858
proteins_SA,480,400,11402.2,85243.2,38974.7,50348,67920,72368,85162.5,270849
proteins_SA,485,400,11402.2,91645,56062.9,49540,58617.8,68853.5,85237,275694
proteins_SA,490,400,11402.2,71514,20270.8,46964,59726,64790,73662.8,140333
proteins_SA,495,400,11402.2,70348.3,33755.3,43599,52954,58895.5,66934.2,190472
proteins_SA,500,400,11402.2,65694.1,17678.3,42631,55672.5,63417.5,70093.5,130110
proteins_SA,505,400,11402.2,57170.6,8202.31,46375,50046.8,56384,62700.5,77944
proteins_SA,510,400,11402.2,63754.3,16684,42152,52560,61885,66587.2,128283
