dataset,n,memory_mb,build_time_ms,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
sources_FM,5,59.2195,24387.5,6.25545e+08,2.69601e+09,35994,3.906e+06,1.81864e+07,1.36298e+08,1.51778e+10
sources_FM,10,59.2195,24387.5,2.39893e+08,1.24371e+09,15428,84390.2,307130,1.66654e+06,7.03455e+09
sources_FM,15,59.2195,24387.5,842954,2.04144e+06,35965,81906.5,145846,519735,9.7685e+06
sources_FM,20,59.2195,24387.5,1.44432e+08,5.77542e+08,33340,52806.5,92159.5,267014,2.73478e+09
sources_FM,25,59.2195,24387.5,5.67993e+06,2.73879e+07,57616,77403.8,102022,132306,1.54795e+08
sources_FM,30,59.2195,24387.5,947305,4.04045e+06,47398,59457.5,79690,119353,2.27418e+07
sources_FM,35,59.2195,24387.5,121770,161132,43245,63602,84212,105240,960413
sources_FM,40,59.2195,24387.5,944943,3.39086e+06,56391,74441,95585,135175,1.7564e+07
sources_FM,45,59.2195,24387.5,106175,40508.9,58254,81337.8,99135.5,109376,223874
sources_FM,50,59.2195,24387.5,576841,2.52732e+06,61071,87958.8,105617,135238,1.44158e+07
sources_FM,55,59.2195,24387.5,210926,431606,75908,100117,115244,152762,2.52914e+06
sources_FM,60,59.2195,24387.5,139811,70932.3,69628,104252,117168,145153,421769
sources_FM,65,59.2195,24387.5,145170,95035.9,83574,103645,116392,139588,517304
sources_FM,70,59.2195,24387.5,171058,171278,85114,113164,134567,164715,1.08312e+06
sources_FM,75,59.2195,24387.5,183789,346271,92608,106328,118525,137345,2.077e+06
sources_FM,80,59.2195,24387.5,190361,272301,99555,124086,136344,159874,1.67372e+06
sources_FM,85,59.2195,24387.5,861884,3.66141e+06,120277,132466,150630,173936,2.08483e+07
sources_FM,90,59.2195,24387.5,195057,188344,112954,137393,151121,180326,1.20437e+06
sources_FM,95,59.2195,24387.5,161228,33802.2,112691,137406,151111,177534,249152
sources_FM,100,59.2195,24387.5,579451,2.01848e+06,100407,137613,165847,196506,1.15374e+07
sources_FM,105,59.2195,24387.5,186047,87513.5,128096,151855,167386,187525,632184
sources_FM,110,59.2195,24387.5,232001,244055,111993,152418,168819,196139,1.32226e+06
sources_FM,115,59.2195,24387.5,897869,3.85812e+06,124753,167956,201172,242017,2.20369e+07
sources_FM,120,59.2195,24387.5,205515,33271.8,159208,185736,198776,224256,320654
sources_FM,125,59.2195,24387.5,215158,48167.5,151633,190194,203882,220321,345011
sources_FM,130,59.2195,24387.5,204336,33147.9,148868,180330,204302,219113,287668
sources_FM,135,59.2195,24387.5,265408,215543,153394,184011,207801,243595,1.34986e+06
sources_FM,140,59.2195,24387.5,259079,158340,170196,199114,217610,238562,991718
sources_FM,145,59.2195,24387.5,233203,39058,175574,212143,221838,248266,321808
sources_FM,150,59.2195,24387.5,267937,149138,149830,219739,236954,256842,1.03861e+06
sources_FM,155,59.2195,24387.5,333574,300457,159684,225712,249674,321267,1.89746e+06
sources_FM,160,59.2195,24387.5,313856,135608,168738,246410,282883,333440,936214
sources_FM,165,59.2195,24387.5,955280,3.73306e+06,177337,235842,256870,288909,2.1385e+07
sources_FM,170,59.2195,24387.5,266742,36195.5,219377,243096,260982,284126,381724
sources_FM,175,59.2195,24387.5,294154,110414,195992,241491,272532,297629,824863
sources_FM,180,59.2195,24387.5,345372,299302,215660,245527,274391,298072,1.5903e+06
sources_FM,185,59.2195,24387.5,273092,62797.9,190797,233389,257290,303222,532657
sources_FM,190,59.2195,24387.5,366545,478464,162267,247558,282462,312094,2.97448e+06
sources_FM,195,59.2195,24387.5,283895,41255.2,203446,253082,283728,309835,371485
sources_FM,200,59.2195,24387.5,289393,51598.3,179859,262453,284462,317365,413596
sources_FM,205,59.2195,24387.5,359175,223369,239369,279638,301234,344731,1.49523e+06
sources_FM,210,59.2195,24387.5,312866,79099.5,190097,258599,304354,334764,532566
sources_FM,215,59.2195,24387.5,554485,1.32553e+06,236139,288606,322832,360152,7.81475e+06
sources_FM,220,59.2195,24387.5,1.00859e+06,3.63661e+06,259128,300292,323824,346072,2.09058e+07
sources_FM,225,59.2195,24387.5,319666,56287,212764,287364,328350,344819,534359
sources_FM,230,59.2195,24387.5,323899,44596.9,244626,290195,316973,358648,426935
