dataset,n,memory_mb,build_time_ms,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
sources_SA,5,400,8644.01,6.72183e+06,2.86919e+07,31663,83533.5,245098,1.43747e+06,1.61334e+08
sources_SA,10,400,8644.01,3.88495e+06,1.99061e+07,25284,29735.5,40025.5,52312.5,1.12562e+08
sources_SA,15,400,8644.01,33749.1,18587.9,19838,25179.5,27626.5,34809,101014
sources_SA,20,400,8644.01,1.78318e+06,7.11276e+06,21106,25273.5,29249,39066.2,3.51138e+07
sources_SA,25,400,8644.01,144652,586611,24878,28686.5,30395,34935.8,3.35305e+06
sources_SA,30,400,8644.01,41436.4,79111.7,21359,23597.8,25223,27659.5,469703
sources_SA,35,400,8644.01,26615.8,4873.68,17515,23630,26065,28169.2,39807
sources_SA,40,400,8644.01,48682.1,67662.5,22048,28361.8,31247,38031.8,343649
sources_SA,45,400,8644.01,32081,4799.31,24036,28341.8,31516,33744.5,44259
sources_SA,50,400,8644.01,43012.5,51516.2,25274,30099,31936.5,35805.8,322878
sources_SA,55,400,8644.01,35368.8,13471,23529,27895,31790,36004,96947
sources_SA,60,400,8644.01,31107.1,11015,23062,26835.2,29082.5,30824,87433
sources_SA,65,400,8644.01,26812.6,5365.92,18783,23828.2,25294,29284.8,41835
sources_SA,70,400,8644.01,24933.3,6721.65,17606,21789.8,23788,26214.2,56146
sources_SA,75,400,8644.01,25585.2,10304,19625,22008.5,23143.5,25347.8,79279
sources_SA,80,400,8644.01,36747.2,14650.5,22505,30372,33798,39432,107626
sources_SA,85,400,8644.01,57592.7,105074,27454,34094.8,36389,40365,629934
sources_SA,90,400,8644.01,29935.5,6818.35,21825,25547.8,28103.5,32063.5,56896
sources_SA,95,400,8644.01,29404.3,4236.23,22728,26906.8,29487.5,30434,45882
sources_SA,100,400,8644.01,46875.1,43187.2,30629,33709.2,35750,41117.8,273770
sources_SA,105,400,8644.01,35651.7,8944.71,22961,28790,33549,42127,55000
sources_SA,110,400,8644.01,30578.6,9837.12,21501,25369.5,27393.5,29730.8,64533
sources_SA,115,400,8644.01,42532.1,69337.4,21927,25577.8,27317.5,33965.5,418567
sources_SA,120,400,8644.01,34435.3,18349.8,25030,26879.2,30116.5,36731.8,130891
sources_SA,125,400,8644.01,34369.9,11087.6,23326,29168,31871,34474.5,86044
sources_SA,130,400,8644.01,36692.7,19299.9,25892,28321,31084.5,36706.2,117676
sources_SA,135,400,8644.01,32924.1,6354.73,24351,28942.8,32814,34335.2,54512
sources_SA,140,400,8644.01,37163.2,10705.5,27261,30271.2,33265.5,38856.2,73985
sources_SA,145,400,8644.01,38969.2,15589,28397,30228,33113.5,44594,111136
sources_SA,150,400,8644.01,41852.6,22769,25902,30923.2,33605.5,40484.2,110780
sources_SA,155,400,8644.01,58857.6,40274.8,33803,42035.8,46562,53628.2,230148
sources_SA,160,400,8644.01,41633.4,17541.2,26632,31183.8,37976.5,44236.8,118275
sources_SA,165,400,8644.01,54966,75563.6,31694,34847.8,40177.5,46728.8,464104
sources_SA,170,400,8644.01,38486,8517.65,28032,33663.5,36515.5,40570.5,73366
sources_SA,175,400,8644.01,41368.2,17344.2,27140,33179,37383,41127.5,112342
sources_SA,180,400,8644.01,35715.3,16710.5,25638,28833.5,31820,34381,111003
sources_SA,185,400,8644.01,37168.9,8271.99,27627,31239.5,35928.5,39563.8,61054
sources_SA,190,400,8644.01,43331,17693.6,28205,34605,40623,44505,127514
sources_SA,195,400,8644.01,31220.6,4159.36,25415,28993,30425.5,33166.2,45638
sources_SA,200,400,8644.01,31712.9,5409.38,23905,28402.5,29994.5,32997,50710
sources_SA,205,400,8644.01,38681.8,12649.8,26592,30537.2,34396,40278.5,78661
sources_SA,210,400,8644.01,45365.7,14191.9,28387,36064.5,41145.5,49680,90476
sources_SA,215,400,8644.01,41733.3,33872.5,27617,30111,33047.5,36171,216073
sources_SA,220,400,8644.01,50216.1,88405.5,24178,30050.5,32362,36526.5,532237
sources_SA,225,400,8644.01,41269.4,11478.3,29472,33864,36911.5,45474,78721
sources_SA,230,400,8644.01,44425,10585,29452,35392.8,40963,51381.5,67860
sources_SA,235,400,8644.01,35491.3,6552.98,28235,31179,33935,37487,57981
sources_SA,240,400,8644.01,36615.4,9225.86,25294,31797,34781.5,38724.5,72342
sources_SA,245,400,8644.01,40821,17159.4,31410,33661.5,36891,40740.2,128752
sources_SA,250,400,8644.01,46769.2,15920.7,34087,36639.8,42206,51281.8,105750
sources_SA,255,400,8644.01,51249.9,78225.8,28357,32953.5,36622,40207.5,478252
sources_SA,260,400,8644.01,36148.5,9794.34,27241,30042.8,33453.5,36066.8,68427
sources_SA,265,400,8644.01,37853.4,10449.2,29310,31313.5,34593.5,39073.8,78843
sources_SA,270,400,8644.01,50322.5,27462.9,32982,37096.5,42444,47595.8,175678
sources_SA,275,400,8644.01,40655,9832.91,29147,35499.5,37753,42243,77666
sources_SA,280,400,8644.01,38615.4,17702.3,26724,32342.8,33742.5,37299.5,130466
sources_SA,285,400,8644.01,39946.2,18079.7,27991,32479.5,35269,38921.8,129583
sources_SA,290,400,8644.01,48674,16602.3,30618,39703.5,44888,50385,120517
sources_SA,295,400,8644.01,40973.4,12569.4,30578,35471.5,37723,41093,101439
sources_SA,300,400,8644.01,56744.1,84176.4,32972,37271.5,40187,45129,515970
sources_SA,305,400,8644.01,55842.4,15060.8,34645,46379.5,52469.5,63904,109036
sources_SA,310,400,8644.01,63480.6,20959.1,43762,54444.8,59122.5,62238,159583
sources_SA,315,400,8644.01,68256.8,86661.9,38417,46459.8,48818,56117.8,537622
sources_SA,320,400,8644.01,61193.3,23835.5,35892,47847.8,56105,63146,134147
sources_SA,325,400,8644.01,50252.7,14127.9,34827,39071.8,45866.5,56754,89827
sources_SA,330,400,8644.01,42536.1,9472.42,31328,36589.2,39198.5,44974.5,67687
sources_SA,335,400,8644.01,53222.2,17119.2,35355,41525.8,48285.5,57880,97159
sources_SA,340,400,8644.01,54239.9,17233,36075,46876.2,50562.5,55838.8,126673
sources_SA,345,400,8644.01,58014.1,27754,34320,48270.5,54361,58706.5,199573
sources_SA,350,400,8644.01,58451.6,22786.6,40131,48250.2,51475,55836,148853
sources_SA,355,400,8644.01,57083.5,13372.4,45375,49928.8,52647,58574.8,112687
sources_SA,360,400,8644.01,50609.4,7982.99,41511,46292.8,47870,50904.8,73661
sources_SA,365,400,8644.01,56185.9,24685.5,43590,46871.2,48965.5,54555.5,182088
sources_SA,370,400,8644.01,58697.5,27591.7,17465,46175.8,53721.5,59769,172453
sources_SA,375,400,8644.01,44879.4,7774.34,35811,39797,42733,48085.5,69523
sources_SA,380,400,8644.01,49598,16954.9,14909,40494.2,44193.5,55213,120181
sources_SA,385,400,8644.01,58910.2,12016.9,36237,48823,59228.5,64540,89289
sources_SA,390,400,8644.01,49107.3,8865.51,38366,42136.5,47053.5,53488.2,75719
sources_SA,395,400,8644.01,51552.7,24371.7,37840,41964.8,43792.5,49835,143589
sources_SA,400,400,8644.01,60279.2,27376.3,25740,45557,52839.5,65785.5,178751
sources_SA,405,400,8644.01,51857.9,18283.9,35679,40032.8,46014,56624.8,114938
sources_SA,410,400,8644.01,56957.6,25729.2,38621,42274.2,49325,56642.8,161631
sources_SA,415,400,8644.01,55319.4,14265.6,40415,45047.5,52327,61792.2,109675
sources_SA,420,400,8644.01,50860.1,10731.8,36835,42880.2,48620.5,58242.2,83275
