Estructura,Patron,Repeticion,Tiempo_Construccion_ms,Tiempo_Busqueda_ms,Num_Ocurrencias,Documentos_Encontrados
SA,<title>,1,4578.29,7.14494,126502,10
FMI,<title>,1,55898.4,8570.01,126502,10
SA,<title>,2,4506.57,7.25081,126502,10
FMI,<title>,2,55735.6,8286.46,126502,10
SA,<title>,3,4486.5,7.08878,126502,10
FMI,<title>,3,56502.8,8229.18,126502,10
SA,<title>,4,4483.01,7.18711,126502,10
FMI,<title>,4,57322.5,8371.18,126502,10
SA,<title>,5,4575.4,7.12195,126502,10
FMI,<title>,5,55976,8477.28,126502,10
SA,<title>,6,4693.97,7.07767,126502,10
FMI,<title>,6,56676.8,8459.43,126502,10
SA,<title>,7,4517.44,7.06506,126502,10
FMI,<title>,7,54938.2,8449.12,126502,10
SA,<title>,8,4367.52,7.02996,126502,10
FMI,<title>,8,56106.5,8270.44,126502,10
SA,<title>,9,4376.84,7.06619,126502,10
FMI,<title>,9,57663.5,8465.98,126502,10
SA,<title>,10,4423.03,7.09699,126502,10
FMI,<title>,10,56149,8047.99,126502,10
SA,<title>,11,4337.83,6.9615,126502,10
FMI,<title>,11,56528.4,8294.13,126502,10
SA,<title>,12,4349.12,7.07225,126502,10
FMI,<title>,12,56940.3,8272.26,126502,10
SA,<title>,13,4451.59,7.21608,126502,10
FMI,<title>,13,58068.9,8690.03,126502,10
SA,<title>,14,4385.66,7.34274,126502,10
FMI,<title>,14,55504.3,8272.76,126502,10
SA,<title>,15,4397.63,7.15424,126502,10
FMI,<title>,15,54010.3,8099.39,126502,10
SA,<title>,16,4264.53,6.99328,126502,10
FMI,<title>,16,54094.5,7985.62,126502,10
SA,<title>,17,4270.18,6.94166,126502,10
FMI,<title>,17,55045.9,8045.05,126502,10
SA,<title>,18,4391.31,7.03452,126502,10
FMI,<title>,18,54423.1,8013.78,126502,10
SA,<title>,19,4583,7.06665,126502,10
FMI,<title>,19,54296,8478.03,126502,10
SA,<title>,20,4412.2,7.01713,126502,10
FMI,<title>,20,54159,7711.11,126502,10
SA,<title>,21,4347.16,6.90541,126502,10
FMI,<title>,21,52977.3,7863.05,126502,10
SA,<title>,22,4382.24,7.19249,126502,10
FMI,<title>,22,54011.4,8489.83,126502,10
SA,<title>,23,4292.55,7.06901,126502,10
FMI,<title>,23,54174.3,8251.22,126502,10
SA,<title>,24,4383.17,7.0254,126502,10
FMI,<title>,24,55000.5,8043.86,126502,10
SA,<title>,25,4335.97,6.88503,126502,10
FMI,<title>,25,54616.7,7767.75,126502,10
SA,<title>,26,4460.06,7.22583,126502,10
FMI,<title>,26,53121.5,7950.37,126502,10
SA,<title>,27,4327.65,6.87979,126502,10
FMI,<title>,27,54532,8021.35,126502,10
SA,<title>,28,4458.83,7.02147,126502,10
FMI,<title>,28,54160.5,8403.12,126502,10
SA,<title>,29,4280.08,6.88469,126502,10
FMI,<title>,29,52528.3,8033.93,126502,10
SA,<title>,30,4242.75,6.83266,126502,10
FMI,<title>,30,52563.6,7774.92,126502,10
SA,databa,1,4356.39,0.070244,1062,10
FMI,databa,1,52884.8,84.109,1062,10
SA,databa,2,4242.24,0.070241,1062,10
FMI,databa,2,52492.8,84.8342,1062,10
SA,databa,3,4541.94,0.074356,1062,10
FMI,databa,3,53421,86.9723,1062,10
SA,databa,4,4199.19,0.100071,1062,10
FMI,databa,4,52622,84.724,1062,10
SA,databa,5,4286.89,0.069097,1062,10
FMI,databa,5,53500.5,85.1836,1062,10
SA,databa,6,4286.79,0.069931,1062,10
FMI,databa,6,55152.1,84.2508,1062,10
SA,databa,7,4314.01,0.07113,1062,10
FMI,databa,7,53538,85.6567,1062,10
SA,databa,8,4332.85,0.083339,1062,10
FMI,databa,8,53709.5,83.385,1062,10
SA,databa,9,4332.11,0.09503,1062,10
FMI,databa,9,53836,89.1253,1062,10
SA,databa,10,4229.33,0.071438,1062,10
FMI,databa,10,52637.2,83.3218,1062,10
SA,databa,11,4225.48,0.07074,1062,10
FMI,databa,11,52473.6,82.143,1062,10
SA,databa,12,4231.6,0.070546,1062,10
FMI,databa,12,52671.7,86.8959,1062,10
SA,databa,13,4306.33,0.071659,1062,10
FMI,databa,13,52984.3,81.6632,1062,10
SA,databa,14,4287.38,0.072095,1062,10
