Estructura,Patron,Repeticion,Tiempo_Construccion_ms,Tiempo_Busqueda_ms,Num_Ocurrencias,Documentos_Encontrados
SA,<title>,1,7080.53,0.046452,0,0
FMI,<title>,1,97902.4,0.146807,0,0
SA,<title>,2,8503.59,0.04414,0,0
FMI,<title>,2,90274.7,0.07045,0,0
SA,<title>,3,6758.74,0.02467,0,0
FMI,<title>,3,99639.7,0.080672,0,0
SA,<title>,4,7718.55,0.020365,0,0
FMI,<title>,4,112014,0.049932,0,0
SA,<title>,5,7106.54,0.021831,0,0
FMI,<title>,5,84202.3,0.1136,0,0
SA,<title>,6,8133.45,0.052511,0,0
FMI,<title>,6,90032.3,0.063016,0,0
SA,<title>,7,6408.47,0.025275,0,0
FMI,<title>,7,86364.2,0.052856,0,0
SA,<title>,8,6660.03,0.024489,0,0
FMI,<title>,8,81287.5,0.096432,0,0
SA,<title>,9,5920.45,0.024168,0,0
FMI,<title>,9,78352.5,0.047674,0,0
SA,<title>,10,6312.01,0.015184,0,0
FMI,<title>,10,85370.4,0.064075,0,0
SA,<title>,11,7441.72,0.025573,0,0
FMI,<title>,11,87040.2,0.06481,0,0
SA,<title>,12,6584.76,0.01407,0,0
FMI,<title>,12,82917.7,0.071461,0,0
SA,<title>,13,7635.91,0.018745,0,0
FMI,<title>,13,86477.5,0.054308,0,0
SA,<title>,14,7931.16,0.049173,0,0
FMI,<title>,14,91329.5,0.087624,0,0
SA,<title>,15,6000.55,0.036246,0,0
FMI,<title>,15,79287.2,0.080613,0,0
SA,<title>,16,5746.83,0.021384,0,0
FMI,<title>,16,74239.9,0.052514,0,0
SA,<title>,17,6160.45,0.026721,0,0
FMI,<title>,17,73237.2,0.052779,0,0
SA,<title>,18,6222.56,0.046545,0,0
FMI,<title>,18,70799,0.063392,0,0
SA,<title>,19,5649.91,0.023526,0,0
FMI,<title>,19,70906.2,0.072769,0,0
SA,<title>,20,5861.14,0.019448,0,0
FMI,<title>,20,70045.2,0.07087,0,0
SA,<title>,21,5484.69,0.016414,0,0
FMI,<title>,21,70175.6,0.05543,0,0
SA,<title>,22,5734.3,0.020555,0,0
FMI,<title>,22,70625.7,0.047693,0,0
SA,<title>,23,5878.69,0.016441,0,0
FMI,<title>,23,69524,0.050468,0,0
SA,<title>,24,5715.25,0.018768,0,0
FMI,<title>,24,67696.7,0.057205,0,0
SA,<title>,25,5488.26,0.029457,0,0
FMI,<title>,25,68717.9,0.058345,0,0
SA,<title>,26,5706.64,0.025313,0,0
FMI,<title>,26,67178.7,0.064759,0,0
SA,<title>,27,5597.51,0.023144,0,0
FMI,<title>,27,69277.4,0.071029,0,0
SA,<title>,28,5525.02,0.014956,0,0
FMI,<title>,28,65000.4,0.059916,0,0
SA,<title>,29,5165.67,0.03594,0,0
FMI,<title>,29,63766.3,0.066138,0,0
SA,<title>,30,5370.73,0.013791,0,0
FMI,<title>,30,64295.3,0.064527,0,0
SA,databa,1,5341.03,0.021091,34,9
FMI,databa,1,64548.9,4.37605,34,9
SA,databa,2,5392.71,0.026155,34,9
FMI,databa,2,62423.7,4.12306,34,9
SA,databa,3,5261.04,0.038757,34,9
FMI,databa,3,63759.4,4.39473,34,9
SA,databa,4,5306.15,0.01913,34,9
FMI,databa,4,64095.8,4.198,34,9
SA,databa,5,5232.67,0.026161,34,9
FMI,databa,5,61476.4,3.94884,34,9
SA,databa,6,5145.21,0.018437,34,9
FMI,databa,6,63827.8,4.62744,34,9
SA,databa,7,5173.25,0.018294,34,9
FMI,databa,7,62641.8,4.5061,34,9
SA,databa,8,5255.64,0.020078,34,9
FMI,databa,8,61703.6,4.9037,34,9
SA,databa,9,5181.29,0.038214,34,9
FMI,databa,9,62628.5,5.87099,34,9
SA,databa,10,5103.11,0.018716,34,9
FMI,databa,10,60999.8,3.89129,34,9
SA,databa,11,5070.5,0.019172,34,9
FMI,databa,11,62228.8,4.57436,34,9
SA,databa,12,4975.28,0.019358,34,9
FMI,databa,12,66206.5,3.96406,34,9
SA,databa,13,5024.28,0.022154,34,9
FMI,databa,13,62049.1,4.43321,34,9
SA,databa,14,5267.71,0.019778,34,9
FMI,databa,14,61522.9,3.59845,34,9
SA,databa,15,4720.74,0.038784,34,9
FMI,databa,15,73845.1,3.96161,34,9
SA,databa,16,5676.8,0.024684,34,9
FMI,databa,16,73141,4.54942,34,9
SA,databa,17,6180.71,0.018897,34,9
FMI,databa,17,75009.5,4.37327,34,9
SA,databa,18,6200.73,0.020111,34,9
FMI,databa,18,73704.3,5.01829,34,9
SA,databa,19,6747.42,0.025138,34,9
FMI,databa,19,79319,5.66168,34,9
SA,databa,20,6695.15,0.034827,34,9
FMI,databa,20,75736.9,5.53963,34,9
SA,databa,21,6724.03,0.017627,34,9
FMI,databa,21,79753.6,6.86992,34,9
SA,databa,22,5926.94,0.042903,34,9
FMI,databa,22,78797.3,3.53047,34,9
SA,databa,23,6628.23,0.036938,34,9
FMI,databa,23,74381.6,3.9447,34,9
SA,databa,24,6428.04,0.046568,34,9
FMI,databa,24,74434.4,4.14028,34,9
SA,databa,25,6217.52,0.042284,34,9
FMI,databa,25,73445.1,4.1818,34,9
SA,databa,26,6503.88,0.025911,34,9
FMI,databa,26,75569,4.9303,34,9
SA,databa,27,6421.09,0.027586,34,9
FMI,databa,27,77576.2,5.66741,34,9
SA,databa,28,6364.44,0.022239,34,9
FMI,databa,28,74126.1,5.44321,34,9
SA,databa,29,5778.98,0.018698,34,9
FMI,databa,29,75230.3,5.60177,34,9
SA,databa,30,6444.89,0.043115,34,9
FMI,databa,30,75811.6,6.95513,34,9
SA,algorithm,1,6087.19,0.057081,328,10
FMI,algorithm,1,74275.6,53.1554,328,10
SA,algorithm,2,5969.32,0.038352,328,10
FMI,algorithm,2,73700.6,45.1758,328,10
SA,algorithm,3,6382,0.087706,328,10
FMI,algorithm,3,73958.9,43.3796,328,10
SA,algorithm,4,6121.08,0.059501,328,10
FMI,algorithm,4,75035.6,64.7287,328,10
SA,algorithm,5,6033.99,0.048505,328,10
FMI,algorithm,5,77176.9,53.6404,328,10
SA,algorithm,6,5533.24,0.038136,328,10
FMI,algorithm,6,76085.2,58.7204,328,10
SA,algorithm,7,6308.09,0.044124,328,10
FMI,algorithm,7,75511.6,45.4858,328,10
SA,algorithm,8,5888.45,0.043576,328,10
FMI,algorithm,8,77960.7,55.3379,328,10
SA,algorithm,9,6123.32,0.044087,328,10
FMI,algorithm,9,73451.7,57.0093,328,10
SA,algorithm,10,6702.44,0.055875,328,10
FMI,algorithm,10,75052.3,56.2087,328,10
SA,algorithm,11,6179.13,0.039555,328,10
FMI,algorithm,11,74348.2,60.0427,328,10
SA,algorithm,12,5938.05,0.05253,328,10
FMI,algorithm,12,75460.5,55.4137,328,10
SA,algorithm,13,5795.63,0.054936,328,10
FMI,algorithm,13,75024.7,54.2997,328,10
SA,algorithm,14,6258.18,0.052684,328,10
FMI,algorithm,14,76309.2,51.0783,328,10
SA,algorithm,15,5885.33,0.044738,328,10
FMI,algorithm,15,71664.9,51.6705,328,10
SA,algorithm,16,6023.41,0.048476,328,10
FMI,algorithm,16,74438.2,43.1754,328,10
SA,algorithm,17,5666.42,0.04199,328,10
FMI,algorithm,17,76142.8,46.0823,328,10
SA,algorithm,18,5632.54,0.056178,328,10
FMI,algorithm,18,72292.8,51.2449,328,10
SA,algorithm,19,6024.18,0.046558,328,10
FMI,algorithm,19,72233.7,38.4751,328,10
SA,algorithm,20,5875.23,0.039143,328,10
FMI,algorithm,20,71228.1,52.083,328,10
SA,algorithm,21,5412.14,0.046542,328,10
FMI,algorithm,21,71464.2,54.5431,328,10
SA,algorithm,22,5629.24,0.062575,328,10
FMI,algorithm,22,70131.4,44.8124,328,10
SA,algorithm,23,6089.29,0.041464,328,10
FMI,algorithm,23,71642.8,40.4381,328,10
SA,algorithm,24,5694.99,0.044823,328,10
FMI,algorithm,24,70687.8,67.3017,328,10
SA,algorithm,25,6340.64,0.034547,328,10
FMI,algorithm,25,70527.7,47.3904,328,10
SA,algorithm,26,5617.18,0.044649,328,10
FMI,algorithm,26,69344.5,52.5588,328,10
SA,algorithm,27,5772.08,0.043933,328,10
FMI,algorithm,27,70591.9,53.7324,328,10
SA,algorithm,28,5733.85,0.035657,328,10
FMI,algorithm,28,67769.2,50.2656,328,10
SA,algorithm,29,6016.42,0.039451,328,10
FMI,algorithm,29,69571,39.8305,328,10
SA,algorithm,30,6190.76,0.040996,328,10
FMI,algorithm,30,76799.8,51.4675,328,10
SA,computational,1,6982.54,0.018727,0,0
FMI,computational,1,72599.1,0.100379,0,0
SA,computational,2,5136.01,0.015847,0,0
FMI,computational,2,75610.4,0.161298,0,0
SA,computational,3,6609.93,0.036625,0,0
FMI,computational,3,77737.9,0.088735,0,0
SA,computational,4,6479.09,0.047781,0,0
FMI,computational,4,77274.8,0.08211,0,0
SA,computational,5,6645.97,0.014165,0,0
FMI,computational,5,75199.6,0.215686,0,0
SA,computational,6,6704.02,0.064262,0,0
FMI,computational,6,76069.7,0.108156,0,0
SA,computational,7,6180.89,0.013762,0,0
FMI,computational,7,74242.2,0.090848,0,0
SA,computational,8,5090.98,0.014486,0,0
FMI,computational,8,76973.5,0.159701,0,0
SA,computational,9,5890.66,0.016108,0,0
FMI,computational,9,75855.2,0.077873,0,0
SA,computational,10,5009.22,0.039319,0,0
FMI,computational,10,74933.2,0.144205,0,0
SA,computational,11,6461.62,0.035923,0,0
FMI,computational,11,82206.1,0.114469,0,0
SA,computational,12,6391.45,0.021825,0,0
FMI,computational,12,75009.7,0.099183,0,0
SA,computational,13,6593.36,0.013993,0,0
FMI,computational,13,80880.1,0.089574,0,0
SA,computational,14,6052.29,0.017226,0,0
FMI,computational,14,76801.7,0.100609,0,0
SA,computational,15,4577.29,0.018913,0,0
FMI,computational,15,78634.2,0.179947,0,0
SA,computational,16,6197.51,0.027906,0,0
FMI,computational,16,71718.4,0.123458,0,0
SA,computational,17,6479.05,0.025938,0,0
FMI,computational,17,71478.9,0.197188,0,0
SA,computational,18,6052.72,0.021753,0,0
FMI,computational,18,73508.5,0.087771,0,0
SA,computational,19,6005.39,0.019724,0,0
FMI,computational,19,76056.1,0.107633,0,0
SA,computational,20,6241.27,0.022229,0,0
FMI,computational,20,75871.7,0.15951,0,0
SA,computational,21,6446.62,0.051463,0,0
FMI,computational,21,77626.6,0.10264,0,0
SA,computational,22,6679.99,0.059403,0,0
FMI,computational,22,82062.8,0.140519,0,0
SA,computational,23,4417.22,0.019527,0,0
FMI,computational,23,81121.6,0.148292,0,0
SA,computational,24,5600.25,0.017466,0,0
FMI,computational,24,79428.4,0.120288,0,0
SA,computational,25,6188.58,0.020677,0,0
FMI,computational,25,77104,0.144565,0,0
